match,P(first win),P(draw),P(second win),Top 1 score,Top 2 score,Top 3 score,Top 4 score,Top 5 score,Top 6 score,Top 7 score,Top 8 score,Top 9 score,Top 10 score,Top 11 score,Top 12 score,Top 13 score,Top 14 score,Top 15 score,Top 16 score,Top 17 score,Top 18 score,Top 19 score,Top 20 score
Brazil vs Haiti,77.6318,14.443800000000001,7.9243999999999994,2-0 (12.4%),3-0 (10.7%),1-0 (9.6%),2-1 (8.8%),3-1 (7.6%),4-0 (6.9%),1-1 (6.8%),4-1 (4.9%),0-0 (3.8%),5-0 (3.6%),2-2 (3.1%),3-2 (2.7%),0-1 (2.6%),5-1 (2.5%),1-2 (2.4%),4-2 (1.7%),6-0 (1.5%),6-1 (1.1%),0-2 (0.9%),5-2 (0.9%)
Brazil vs Scotland,61.960800000000006,21.205199999999998,16.834,1-0 (10.9%),2-0 (10.8%),1-1 (10.0%),2-1 (9.9%),3-0 (7.1%),3-1 (6.5%),0-0 (5.6%),0-1 (5.1%),2-2 (4.6%),1-2 (4.6%),4-0 (3.5%),4-1 (3.3%),3-2 (3.0%),0-2 (2.3%),4-2 (1.5%),1-3 (1.5%),2-3 (1.4%),5-0 (1.4%),5-1 (1.3%),3-3 (0.9%)
Morocco vs Haiti,74.9452,15.7386,9.3162,2-0 (12.4%),1-0 (10.1%),3-0 (10.0%),2-1 (9.1%),1-1 (7.5%),3-1 (7.5%),4-0 (6.2%),4-1 (4.5%),0-0 (4.1%),2-2 (3.4%),0-1 (3.0%),5-0 (3.0%),1-2 (2.8%),3-2 (2.8%),5-1 (2.3%),4-2 (1.7%),6-0 (1.3%),0-2 (1.1%),6-1 (0.9%),2-3 (0.9%)
Morocco vs Scotland,58.836999999999996,22.291800000000002,18.871199999999998,1-0 (10.8%),1-1 (10.5%),2-0 (10.2%),2-1 (10.0%),3-0 (6.5%),3-1 (6.2%),0-0 (5.8%),0-1 (5.6%),1-2 (5.0%),2-2 (4.8%),4-0 (3.0%),3-2 (3.0%),4-1 (2.9%),0-2 (2.7%),1-3 (1.6%),2-3 (1.5%),4-2 (1.4%),5-0 (1.1%),5-1 (1.1%),3-3 (1.0%)
Haiti vs Scotland,22.1726,23.5408,54.28659999999999,1-1 (11.2%),0-1 (10.7%),1-2 (9.8%),0-2 (9.4%),1-0 (6.3%),0-0 (6.1%),1-3 (5.8%),2-1 (5.7%),0-3 (5.6%),2-2 (5.1%),2-0 (3.3%),2-3 (2.9%),1-4 (2.5%),0-4 (2.4%),3-1 (2.0%),3-2 (1.8%),2-4 (1.3%),3-0 (1.1%),3-3 (1.0%),1-5 (0.9%)
United States vs Paraguay,39.879599999999996,25.7488,34.3716,1-1 (12.2%),1-0 (9.4%),0-1 (8.7%),2-1 (8.6%),1-2 (7.9%),0-0 (6.7%),2-0 (6.6%),0-2 (5.6%),2-2 (5.6%),3-1 (4.0%),1-3 (3.4%),3-0 (3.1%),3-2 (2.6%),0-3 (2.4%),2-3 (2.4%),4-1 (1.4%),3-3 (1.1%),4-0 (1.1%),1-4 (1.1%),4-2 (0.9%)
United States vs Australia,38.668400000000005,25.7858,35.5458,1-1 (12.2%),1-0 (9.3%),0-1 (8.9%),2-1 (8.5%),1-2 (8.0%),0-0 (6.7%),2-0 (6.5%),0-2 (5.8%),2-2 (5.6%),3-1 (3.9%),1-3 (3.5%),3-0 (2.9%),3-2 (2.6%),0-3 (2.6%),2-3 (2.4%),4-1 (1.3%),1-4 (1.2%),3-3 (1.1%),4-0 (1.0%),4-2 (0.9%)
United States vs Turkey,34.0704,25.769,40.1606,1-1 (12.2%),0-1 (9.6%),1-0 (8.6%),1-2 (8.6%),2-1 (7.9%),0-2 (6.7%),0-0 (6.7%),2-2 (5.6%),2-0 (5.5%),1-3 (4.1%),3-1 (3.4%),0-3 (3.2%),2-3 (2.6%),3-0 (2.4%),3-2 (2.4%),1-4 (1.5%),3-3 (1.2%),0-4 (1.1%),4-1 (1.1%),2-4 (0.9%)
Paraguay vs Australia,35.8822,25.8218,38.296,1-1 (12.2%),0-1 (9.2%),1-0 (8.9%),1-2 (8.4%),2-1 (8.1%),0-0 (6.7%),0-2 (6.4%),2-0 (5.9%),2-2 (5.6%),1-3 (3.9%),3-1 (3.6%),0-3 (2.9%),3-0 (2.6%),2-3 (2.6%),3-2 (2.5%),1-4 (1.3%),4-1 (1.2%),3-3 (1.1%),0-4 (1.0%),2-4 (0.9%)
Paraguay vs Turkey,31.530599999999996,25.566,42.903400000000005,1-1 (12.1%),0-1 (9.8%),1-2 (8.9%),1-0 (8.2%),2-1 (7.4%),0-2 (7.3%),0-0 (6.7%),2-2 (5.5%),2-0 (5.1%),1-3 (4.4%),0-3 (3.6%),3-1 (3.1%),2-3 (2.7%),3-2 (2.3%),3-0 (2.1%),1-4 (1.7%),0-4 (1.3%),3-3 (1.1%),2-4 (1.0%),4-1 (0.9%)
Australia vs Turkey,32.536,25.5938,41.870200000000004,1-1 (12.2%),0-1 (9.8%),1-2 (8.8%),1-0 (8.3%),2-1 (7.6%),0-2 (7.0%),0-0 (6.6%),2-2 (5.5%),2-0 (5.2%),1-3 (4.3%),0-3 (3.4%),3-1 (3.2%),2-3 (2.7%),3-2 (2.3%),3-0 (2.2%),1-4 (1.6%),0-4 (1.2%),3-3 (1.1%),4-1 (1.0%),2-4 (1.0%)
Germany vs Curaçao,82.49119999999999,11.7552,5.7536,2-0 (12.3%),3-0 (11.7%),1-0 (8.6%),4-0 (8.4%),2-1 (7.9%),3-1 (7.6%),1-1 (5.6%),4-1 (5.3%),5-0 (4.8%),5-1 (3.1%),0-0 (3.0%),2-2 (2.5%),3-2 (2.4%),6-0 (2.3%),0-1 (1.9%),1-2 (1.8%),4-2 (1.7%),6-1 (1.5%),5-2 (1.0%),7-0 (0.9%)
Germany vs Ivory Coast,59.1604,22.1312,18.7084,1-0 (11.0%),1-1 (10.5%),2-0 (10.3%),2-1 (9.9%),3-0 (6.5%),3-1 (6.2%),0-0 (5.7%),0-1 (5.5%),1-2 (5.0%),2-2 (4.8%),4-0 (3.1%),3-2 (3.0%),4-1 (3.0%),0-2 (2.6%),1-3 (1.6%),2-3 (1.5%),4-2 (1.4%),5-0 (1.1%),5-1 (1.1%),3-3 (1.0%)
Germany vs Ecuador,41.7486,25.713200000000004,32.5382,1-1 (12.2%),1-0 (9.7%),2-1 (8.9%),0-1 (8.3%),1-2 (7.6%),2-0 (7.0%),0-0 (6.7%),2-2 (5.6%),0-2 (5.2%),3-1 (4.3%),3-0 (3.4%),1-3 (3.1%),3-2 (2.6%),2-3 (2.3%),0-3 (2.2%),4-1 (1.6%),4-0 (1.2%),3-3 (1.1%),1-4 (1.0%),4-2 (1.0%)
Curaçao vs Ivory Coast,15.731800000000002,20.5778,63.690400000000004,0-2 (11.0%),0-1 (10.9%),1-2 (9.9%),1-1 (9.7%),0-3 (7.4%),1-3 (6.7%),0-0 (5.4%),1-0 (4.8%),2-2 (4.5%),2-1 (4.4%),0-4 (3.8%),1-4 (3.4%),2-3 (3.1%),2-0 (2.1%),0-5 (1.5%),2-4 (1.5%),1-5 (1.4%),3-2 (1.3%),3-1 (1.3%),3-3 (0.9%)
Curaçao vs Ecuador,7.3088,13.6378,79.0534,0-2 (12.4%),0-3 (10.9%),0-1 (9.5%),1-2 (8.6%),1-3 (7.6%),0-4 (7.3%),1-1 (6.5%),1-4 (5.0%),0-5 (3.9%),0-0 (3.5%),2-2 (2.9%),1-5 (2.7%),2-3 (2.6%),1-0 (2.4%),2-1 (2.2%),0-6 (1.7%),2-4 (1.7%),1-6 (1.2%),2-5 (0.9%),2-0 (0.8%)
